Visitor,division_visitor
Green Bay PackersGB,NFC North
Los Angeles RamsLA,NFC West
Tennessee TitansTEN,AFC South
Kansas City ChiefsKC,AFC West
Baltimore RavensBAL,AFC North
Atlanta FalconsATL,NFC South
Buffalo BillsBUF,AFC East
Washington RedskinsWAS,NFC East
Indianapolis ColtsIND,AFC South
Cincinnati BengalsCIN,AFC North
Detroit LionsDET,NFC South
New York GiantsNYG,NFC East
San Francisco 49ersSF,NFC West
Pittsburgh SteelersPIT,AFC North
Houston TexansHOU,AFC South
Denver BroncosDEN,AFC West
Chicago BearsCHI,NFC North
Carolina PanthersCAR,NFC South
Cleveland BrownsCLE,AFC North
Jacksonville JaguarsJAX,AFC South
Miami DolphinsMIA,AFC East
Minnesota VikingsMIN,NFC North
New York JetsNYJ,AFC East
Philadelphia EaglesPHI,NFC East
Los Angeles ChargersLAC,AFC West
Seattle SeahawksSEA,NFC West
Arizona CardinalsARI,NFC West
Dallas CowboysDAL,NFC East
Tampa Bay BuccaneersTB,NFC South
New England PatriotsNE,AFC East
New Orleans SaintsNO,NFC South
Oakland RaidersOAK,AFC West
