,Visitor,visitor_score,Home,home_score,season,week,wins_visitor,wins_local,winner,favorite,underdog_win,division_visitor,division_home,interdivision
0,Green Bay PackersGB,10,Chicago BearsCHI,3,2019,1,0,0,Green Bay PackersGB,No Favorite,No Favorite,NFC North,NFC North,Yes
1,Los Angeles RamsLA,30,Carolina PanthersCAR,27,2019,1,0,0,Los Angeles RamsLA,No Favorite,No Favorite,NFC West,NFC South,No
2,Tennessee TitansTEN,43,Cleveland BrownsCLE,13,2019,1,0,0,Tennessee TitansTEN,No Favorite,No Favorite,AFC South,AFC North,No
3,Kansas City ChiefsKC,40,Jacksonville JaguarsJAX,26,2019,1,0,0,Kansas City ChiefsKC,No Favorite,No Favorite,AFC West,AFC South,No
4,Baltimore RavensBAL,59,Miami DolphinsMIA,10,2019,1,0,0,Baltimore RavensBAL,No Favorite,No Favorite,AFC North,AFC East,No
5,Atlanta FalconsATL,12,Minnesota VikingsMIN,28,2019,1,0,0,Minnesota VikingsMIN,No Favorite,No Favorite,NFC South,NFC North,No
6,Buffalo BillsBUF,17,New York JetsNYJ,16,2019,1,0,0,Buffalo BillsBUF,No Favorite,No Favorite,AFC East,AFC East,Yes
7,Washington RedskinsWAS,27,Philadelphia EaglesPHI,32,2019,1,0,0,Philadelphia EaglesPHI,No Favorite,No Favorite,NFC East,NFC East,Yes
8,Indianapolis ColtsIND,24,Los Angeles ChargersLAC,30,2019,1,0,0,Los Angeles ChargersLAC,No Favorite,No Favorite,AFC South,AFC West,No
9,Cincinnati BengalsCIN,20,Seattle SeahawksSEA,21,2019,1,0,0,Seattle SeahawksSEA,No Favorite,No Favorite,AFC North,NFC West,No
10,Detroit LionsDET,27,Arizona CardinalsARI,27,2019,1,0,0,Tie,No Favorite,No Favorite,NFC South,NFC West,No
11,New York GiantsNYG,17,Dallas CowboysDAL,35,2019,1,0,0,Dallas CowboysDAL,No Favorite,No Favorite,NFC East,NFC East,Yes
12,San Francisco 49ersSF,31,Tampa Bay BuccaneersTB,17,2019,1,0,0,San Francisco 49ersSF,No Favorite,No Favorite,NFC West,NFC South,No
13,Pittsburgh SteelersPIT,3,New England PatriotsNE,33,2019,1,0,0,New England PatriotsNE,No Favorite,No Favorite,AFC North,AFC East,No
14,Houston TexansHOU,28,New Orleans SaintsNO,30,2019,1,0,0,New Orleans SaintsNO,No Favorite,No Favorite,AFC South,NFC South,No
